stop_name	imgURL	station_id	longitude	latitude	artist	title	media	artDate	Description	agency
Chicago-Brown	"""http://www.transitchicago.com/assets/1/public_art/merchandise-mart-1.jpg"" "	40710	-87.635924	41.89681	B.J. Krivanek and Joel Breaux	Reflections Expressions Transformations	"Aluminum, powder-coated aluminum"	2009	"Each panel of this kinetic art installation pivots independently, allowing the artwork to constantly shift and change, like the surrounding streetscape, in response to wind currents and the vibrations of passing trains. The highly polished aluminum reflects and fragments light and shadow from surrounding buildings, objects and people. “Located within Chicago’s art gallery district, this public artwork symbolizes the process of creativity—where observations and experiences are transformed into expressions that are placed into a public arena.” —B.J. Krivanek"	
Merchandise Mart	"""http://www.transitchicago.com/assets/1/public_art/howard-1.jpg"" "	40460	-87.633924	41.888969	Columbia College Photography Department	In Transit Gallery	Photo montage	2001	"Bringing art to the City of Chicago in the form of a photo montage, the Columbia College Photography department displays photography by Columbia College students. Located throughout the bridge that connects the north- and southbound platforms, the students’ photos have turned the station into a transit gallery. "	Adopt-A-Station
Howard	"""http://www.transitchicago.com/assets/1/public_art/howard-2.jpg"" "	40900	-87.672892	42.019063	Carla Arocha and Stephane Schraenen	24/7	Stainless steel	2009	"Titled 24/7 , the sculpture suspended overhead celebrates the dynamic activity that occurs day and night in the Howard station. Circular stainless steel plates, polished to a mirror finish, are draped together using fasteners custom-designed by the artists. A pattern of laser-cut holes scatters across the surface of the plates creating secondary circular patterns. As one moves through the space of the sculpture, the perception of circles reflected within circles is intensified. "	
Howard	"""http://www.transitchicago.com/assets/1/public_art/howard-3.jpg"" "	40900	-87.672892	42.019063	Carla Arocha and Stephane Schraenen	24/7	Stainless steel	2009	"Titled 24/7 , the sculpture suspended overhead celebrates the dynamic activity that occurs day and night in the Howard station. Circular stainless steel plates, polished to a mirror finish, are draped together using fasteners custom-designed by the artists. A pattern of laser-cut holes scatters across the surface of the plates creating secondary circular patterns. As one moves through the space of the sculpture, the perception of circles reflected within circles is intensified. "	
Howard	"""http://www.transitchicago.com/assets/1/public_art/roosevelt-1.jpg"" "	40900	-87.672892	42.019063	Carla Arocha and Stephane Schraenen	24/7	Stainless steel	2009	"Titled 24/7 , the sculpture suspended overhead celebrates the dynamic activity that occurs day and night in the Howard station. Circular stainless steel plates, polished to a mirror finish, are draped together using fasteners custom-designed by the artists. A pattern of laser-cut holes scatters across the surface of the plates creating secondary circular patterns. As one moves through the space of the sculpture, the perception of circles reflected within circles is intensified. "	
Roosevelt	"""http://www.transitchicago.com/assets/1/public_art/sox-35th-2.jpg"" "	41400	-87.62703141	41.86737853	Juan Angel Chavez and Corinne Peterson	Hopes and Dreams	Glass ceramic mosaic	2002	"This mosaic is largely made up of tiles created by adults and children during weekend workshops at the Field Museum in the summer of 1999. Participants were asked to carve images related to the themes of Project Millennium- Origins, Transitions, New Directions, Discovery and Technology. The artists then glazed, fired and assembled the “people tiles” into readable designs that formed a scenic collage of contemplative images from nature including clouds, plants, trees, forests, oceans, animals, birds, sunsets, earth and space. "	Chicago Public Art Group
Sox-35th	"""http://www.transitchicago.com/assets/1/public_art/sox-35th-1.jpg"" "	40190	-87.630636	41.831191	Cody Hudson	Magic Numbers	"Art glass, anodized aluminum"	2006	"Magic Numbers, an artwork in three components, celebrates the mysticism and fanaticism associated with the Chicago White Sox baseball team. The stairway panels indicate significant calendar years, the total number of players, and retired jersey numbers during the 104 years of White Sox history (1902 – 2005). Enveloping the station elevator is a pattern of multi-colored stripes referencing team trivia including uniform colors and win/loss statistics by year. Certain stripes include a code of picture symbols representing more obscure trivial facts. This language of symbols is an invention of artist Cody Hudson, who believes CTA riders and White Sox fans will eventually break the code. "	Arts in Transit
Sox-35th	"""http://www.transitchicago.com/assets/1/public_art/47th-1.jpg"" "	40190	-87.630636	41.831191	Cody Hudson	Magic Numbers	"Art glass, anodized aluminum"	2006	"Magic Numbers, an artwork in three components, celebrates the mysticism and fanaticism associated with the Chicago White Sox baseball team. The stairway panels indicate significant calendar years, the total number of players, and retired jersey numbers during the 104 years of White Sox history (1902 – 2005). Enveloping the station elevator is a pattern of multi-colored stripes referencing team trivia including uniform colors and win/loss statistics by year. Certain stripes include a code of picture symbols representing more obscure trivial facts. This language of symbols is an invention of artist Cody Hudson, who believes CTA riders and White Sox fans will eventually break the code. "	Arts in Transit
47th-Red	"""http://www.transitchicago.com/assets/1/public_art/47th-2.jpg"" "	41230	-87.63094	41.810318	Jo Hormuth	Canopy Lights	"Laser-cut Acrylite, aluminum"	2007	"Inspired by the sensation of walking down a tree-lined street, Jo Hormuth’s artwork lends color and shade to the platform, simulating the feeling of blossoming trees overhead. Acrylic panels in twelve colors were laser-cut into a repetitive pattern hand-drawn by Ms. Hormuth and then installed within the existing canopy. Panels in varying hues of red anchor the north and south ends of the platform, signifying the CTA Red Line. "	Arts in Transit
47th-Red	"""http://www.transitchicago.com/assets/1/public_art/garfield-1.jpg"" "	41230	-87.63094	41.810318	Jo Hormuth	Canopy Lights	"Laser-cut Acrylite, aluminum"	2007	"Inspired by the sensation of walking down a tree-lined street, Jo Hormuth’s artwork lends color and shade to the platform, simulating the feeling of blossoming trees overhead. Acrylic panels in twelve colors were laser-cut into a repetitive pattern hand-drawn by Ms. Hormuth and then installed within the existing canopy. Panels in varying hues of red anchor the north and south ends of the platform, signifying the CTA Red Line. "	Arts in Transit
Garfield-Red	"""http://www.transitchicago.com/assets/1/public_art/63rd-1.jpg"" "	41170	-87.631157	41.79542	Bernard Williams	Nexus Orbs	Hydro-cut anodized aluminum	2007	"Inspired by patterns and imagery found in nature, ancient cultures and tribal art, Bernard Williams developed a vocabulary of symbols to create a suspended sculpture and series of medallions affixed to the stationhouse windows. Each circular in shape, the symbols serve as a metaphor for the rhythm of the daily commute in which one begins and ends in the same place. "	Arts in Transit
63rd	"""http://www.transitchicago.com/assets/1/public_art/69th-1.jpg"" "	40910	-87.630952	41.780536	Sabina Ott	A Red Line and a Cloud	Art glass	2007	"As the 63rd Street stationhouse seems to float above the expressway, Sabina Ott’s artwork appears to interact with the landscape of Chicago, momentarily suspending the viewer in the painted clouds. A Red Line and a Cloud is based on maps that turn and swirl, mimicking the view north from the stationhouse. The path of the CTA Red Line route anchors the center of this landscape of floating clouds and color.  "	Arts in Transit
69th	"""http://www.transitchicago.com/assets/1/public_art/69th-2.jpg"" "	40990	-87.625724	41.768367	Preston Jackson	A Need to Remember	"Bronze, stainless steel"	2007	"This sculpture, in the shape of a two-sided screen, juxtaposes contemporary and historic imagery of African-American culture and daily life. A master of portraiture and storytelling, artist reston Jackson intends this artwork to be a history lesson and inspiration for the present and future. The sculpture juxtaposes streetscapes and images of days past with tender scenes of hair-braiding and imagery from nature."	Arts in Transit
69th	"""http://www.transitchicago.com/assets/1/public_art/79th-1.jpg"" "	40990	-87.625724	41.768367	Preston Jackson	A Need to Remember	"Bronze, stainless steel"	2007	"This sculpture, in the shape of a two-sided screen, juxtaposes contemporary and historic imagery of African-American culture and daily life. A master of portraiture and storytelling, artist reston Jackson intends this artwork to be a history lesson and inspiration for the present and future. The sculpture juxtaposes streetscapes and images of days past with tender scenes of hair-braiding and imagery from nature."	
79th	"""http://www.transitchicago.com/assets/1/public_art/79th-2.jpg"" "	40240	-87.625112	41.750419	Stephen Marc	South Side Weave	"Art glass, aluminum"	2007	"Stephen Marc created these murals by combining historic photographs of the nearby community with his own images of the South Side, photographed during the year 2006. The photo-montages feature old and new images superimposed of landmarks including the Auburn Park Lagoon and the Mt. Herman Missionary Baptist Church. The landscape of Chicago provides the descriptive background while portraits and scenes of daily life animate these spaces. The theme of hair is featured prominently, with images of braids creating a patterned framework for each mural. "	Arts in Transit
79th	"""http://www.transitchicago.com/assets/1/public_art/87th-1.jpg"" "	40240	-87.625112	41.750419	Stephen Marc	South Side Weave	"Art glass, aluminum"	2007	"Stephen Marc created these murals by combining historic photographs of the nearby community with his own images of the South Side, photographed during the year 2006. The photo-montages feature old and new images superimposed of landmarks including the Auburn Park Lagoon and the Mt. Herman Missionary Baptist Church. The landscape of Chicago provides the descriptive background while portraits and scenes of daily life animate these spaces. The theme of hair is featured prominently, with images of braids creating a patterned framework for each mural. "	Arts in Transit
87th	"""http://www.transitchicago.com/assets/1/public_art/87th-2.jpg"" "	41430	-87.624717	41.735372	Jeff Zimmerman	The Shore	Art glass	2007	"Images of a man and woman appear to float within schools of fish in Jeff Zimmerman’s contemporary stained-glass windows. Inspired by the theme of migration, the artist relates the daily activity of riding the train to the life-cycle of fish. Although fish swim constantly in migration, they eventually return to their birthplace. Floating amongst the fish, the man and woman reach out to each other, as if bridging the gap between strangers in their daily journey."	Arts in Transit
87th	"""http://www.transitchicago.com/assets/1/public_art/54th-cermak-1.jpg"" "	41430	-87.624717	41.735372	Jeff Zimmerman	The Shore	Art glass	2007	"Images of a man and woman appear to float within schools of fish in Jeff Zimmerman’s contemporary stained-glass windows. Inspired by the theme of migration, the artist relates the daily activity of riding the train to the life-cycle of fish. Although fish swim constantly in migration, they eventually return to their birthplace. Floating amongst the fish, the man and woman reach out to each other, as if bridging the gap between strangers in their daily journey."	Arts in Transit
54th/Cermak	"""http://www.transitchicago.com/assets/1/public_art/kostne-1.jpg"" "	40580	-87.75669201	41.85177331	Nicole Gordon	54th/Cermak Station	Paint on porcelain tile	2004	"This painting on ceramic tile depicts a tapestry in which Cicero’s rich cultural history and diversity unfolds. Cicero is 
a town that is historically noted as a working class community composed primarily of immigrants that have strived to 
establish themselves and realize the American dream. A township map of Cicero serves as a foundation of the piece,  
as well as decorative references to the cultures that comprise the community. Some of the town’s most important streets 
and landmarks provide a structural element, upon which the narrative unfolds. "	Arts in Transit
Kostner	"""http://www.transitchicago.com/assets/1/public_art/kostner-2.jpg"" "	40600	-87.733258	41.853751	Beatrice Coron	Seeds of the Future Planted Today	"Water jet cut stainless steel, four panels"	2004	"This project aims to plant seeds of thought. Icons of growth and transformation take root in the past to transform our future. In the center panel, young children are watering the city, representing hope for the future. The side panels reflect the importance of education and literacy as the open books at the bottom the pages sprout with plants, symbolizing human growth."	Arts in Transit
Kostner	"""http://www.transitchicago.com/assets/1/public_art/pulaski-pink-1.jpg"" "	40600	-87.733258	41.853751	Beatrice Coron	Seeds of the Future Planted Today	"Water jet cut stainless steel, four panels"	2004	"This project aims to plant seeds of thought. Icons of growth and transformation take root in the past to transform our future. In the center panel, young children are watering the city, representing hope for the future. The side panels reflect the importance of education and literacy as the open books at the bottom the pages sprout with plants, symbolizing human growth."	Arts in Transit
Pulaski-Forest Park	"""http://www.transitchicago.com/assets/1/public_art/central-park-1.jpg"" "	40920	-87.725663	41.873797	Adam Brooks	Pulaski Station	Mixed media mosaic with water jet cut glass in three panels	2004	"Adam Brooks uses quotes by individuals linked to Chicago to represent broad ideas about what it means to be human.  
The words of these contemporary figures create meaning within the site. The quotes in this artwork were chosen to reflect 
a wide-range approach to human thought and understanding. Each of the three individuals whose quotes are used – 
Muhammad Ali, James Cone and Haki Madhubuti – was a pioneer in his field. Muhammad Ali is the original archetype  
for the modern poet; James Cone is a minister, writer and a professor at the Union Theological Seminary in New York;  
Haki Madhubuti is a Chicago-based poet and publisher who founded the Third World Press."	Arts in Transit
Central Park	"""http://www.transitchicago.com/assets/1/public_art/kedzie-pink-1.jpg"" "	40780	-87.714842	41.853839	Olivia Gude	Cannas and Corn: A Community Garden	Mixed media mosaic	2004	This mosaic commemorates the ephemeral public art form of the community garden. North Lawndale has an active tradition of dedicated people who transform abandoned urban spaces into neighborhood amenities. They describe their work as “blight into sight.” The mosaic was fabricated in a community mosaic workshop to “plant the seeds” of mosaic making skills in the community so that locally made public art can become part of the garden making process.	Arts in Transit
Kedzie-Cermak	"""http://www.transitchicago.com/assets/1/public_art/california-pink-1.jpg"" "	41040	-87.705408	41.853964	John Himmelfarb	Coast of Chicago	Custom-shaped painted tiles	2004	"The neighborhood surrounding the Kedzie station is full of bustling activity. The ceramic tiles of this artwork reflect the strength of community as a whole, but also the uniqueness of its individual parts. Many of the design elements are drawn from architectural details of homes, schools and commercial buildings, as well as structural details associated with the CTA. These sources reflect the current community and give reference to the history of the neighborhood. Combined with this imagery are design elements inspired by connections of heritage to Mayan, Aztec and African cultures."	Arts in Transit
California-Cermak	"""http://www.transitchicago.com/assets/1/public_art/california-pink-2.jpg"" "	40440	-87.694774	41.854109	Christopher Tavares Silva	Amor	Mixed media mosaic	2004	"The circular flight of birds from heart to heart 
suggests the passing of love from person to 
person and place to place, as well as the coming 
and going of passengers. The migration of birds 
from clear to rainy skies symbolically endorses 
the virtues of promoting love through times of both 
happiness and hardship."	Arts in Transit
California-Cermak	"""http://www.transitchicago.com/assets/1/public_art/western-pink-1.jpg"" "	40440	-87.694774	41.854109	Christopher Tavares Silva	Amor	Mixed media mosaic	2004	"The circular flight of birds from heart to heart 
suggests the passing of love from person to 
person and place to place, as well as the coming 
and going of passengers. The migration of birds 
from clear to rainy skies symbolically endorses 
the virtues of promoting love through times of both 
happiness and hardship."	Arts in Transit
Western-Cermak	"""http://www.transitchicago.com/assets/1/public_art/western-pink-2.jpg"" "	40740	-87.685129	41.854225	Hector Duarte	Ice Cream Dream	Mixed media mosaic	2004	"At the center of this mosaic is a large heart with several buildings featuring the neighborhood’s unique architectural characteristics and facades. Surrounding the heart are the Willis Tower and John Hancock Center, signifying the neighborhood’s place in the city. Monarch butterflies are the predominant theme throughout the mural; like many people who pass through this station daily, monarchs are migrants.  Every year the monarch travels thousands of miles from Mexico to the Midwest. The butterflies emerge in the mural as a wave of energy, a reflection of magical realism that has marked Latin American literature."	Arts in Transit
Western-Cermak	"""http://www.transitchicago.com/assets/1/public_art/damen-pink-2.jpg"" "	40740	-87.685129	41.854225	Hector Duarte	Ice Cream Dream	Mixed media mosaic	2004	"At the center of this mosaic is a large heart with several buildings featuring the neighborhood’s unique architectural characteristics and facades. Surrounding the heart are the Willis Tower and John Hancock Center, signifying the neighborhood’s place in the city. Monarch butterflies are the predominant theme throughout the mural; like many people who pass through this station daily, monarchs are migrants.  Every year the monarch travels thousands of miles from Mexico to the Midwest. The butterflies emerge in the mural as a wave of energy, a reflection of magical realism that has marked Latin American literature."	Arts in Transit
Damen-Cermak	"""http://www.transitchicago.com/assets/1/public_art/damen-pink-1.jpg"" "	40210	-87.675975	41.854517	Juan Angel Chavez	Vida Simple	Mixed media mosaic	2004	"Inspired by the neighborhood of Pilsen, this multi-media mosaic focuses on the individuality of the people that created the heritage and cultural identity of the community. The design itself is a collage of imagery taken from the neighborhood, including community member portraits, local street scenes and industrial wildlife – birds, small animals and plants that reside and grow in the industrial landscape."	Arts in Transit
Damen-Cermak	"""http://www.transitchicago.com/assets/1/public_art/18th-1.jpg"" "	40210	-87.675975	41.854517	Juan Angel Chavez	Vida Simple	Mixed media mosaic	2004	"Inspired by the neighborhood of Pilsen, this multi-media mosaic focuses on the individuality of the people that created the heritage and cultural identity of the community. The design itself is a collage of imagery taken from the neighborhood, including community member portraits, local street scenes and industrial wildlife – birds, small animals and plants that reside and grow in the industrial landscape."	Arts in Transit
18th	"""http://www.transitchicago.com/assets/1/public_art/cumberland-1.jpg"" "	40830	-87.669147	41.857908	Francisco Mendoza; Gallery 37 students and the Mexican Museum of National Art	Untitled	Painted wall murals	1998	"Covering the steel panels of the station wall, several murals symbolize and tell stories about the neighborhood that the 18th station serves.  Each of the colorful murals illustrates a different story of rich Mexican heritage while also depicting many important cultural icons in Mexican history."	Adopt-A-Station
