coordinates,Name,Description
"-87.708541,41.929728,0,-87.70735,41.928995,0,-87.706922,41.928692,0,-87.70639,41.928331,0,-87.705939,41.927959,0,-87.705551,41.927605,0,-87.705298,41.927371,0,-87.704997,41.927095,0,-87.704704,41.926831,0,-87.704372,41.926573,0,-87.703952,41.926267,0,-87.",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>107</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100107</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Logan Square to California</td> </tr> <tr> <td>TYPE</td> <td>Subway</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.666496,41.903355,0,-87.665926,41.902971,0,-87.665237,41.902521,0,-87.66417,41.901842,0,-87.663574,41.901462,0,-87.662587,41.900824,0,-87.661622,41.90022,0,-87.660901,41.899745,0,-87.659869,41.899097,0,-87.658786,41.898395,0,-87.657814,41.897774,0,-87.",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>103</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100103</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Division to Chicago</td> </tr> <tr> <td>TYPE</td> <td>Subway</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.631722,41.875568,0,-87.633626,41.875569,0,-87.637299,41.875604,0,-87.640984,41.875539,0",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>152</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100152</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Clinton to LaSalle</td> </tr> <tr> <td>TYPE</td> <td>Subway</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.640984,41.875539,0,-87.641908,41.875513,0,-87.6471,41.875522,0,-87.649642,41.875516,0",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>151</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100151</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>UIC-Halsted to Clinton</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.659456,41.875886,0,-87.660183,41.875871,0,-87.66499,41.87581,0,-87.666581,41.875772,0,-87.667531,41.875762,0",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>62</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100062</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Loomis Junction to Racine</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.743617,41.961487,0,-87.743429,41.96133,0,-87.743264,41.961175,0,-87.743001,41.960976,0,-87.742744,41.960758,0,-87.74251,41.960559,0,-87.742146,41.960283,0,-87.741693,41.959998,0,-87.741214,41.959701,0,-87.74074,41.959407,0,-87.737245,41.957427,0,-87.7",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>110</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100110</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Montrose to Irving Park</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.647578,41.891189,0,-87.646777,41.890667,0,-87.645716,41.88997,0,-87.645056,41.889518,0,-87.644444,41.889099,0,-87.643353,41.888301,0,-87.642655,41.887786,0,-87.641959,41.887275,0,-87.641195,41.886713,0,-87.640854,41.886462,0,-87.640575,41.886257,0,-87",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>58</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100058</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Grand to Clark/Lake</td> </tr> <tr> <td>TYPE</td> <td>Subway</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.629378,41.880703,0,-87.629339,41.879498,0,-87.629324,41.879036,0,-87.629314,41.87873,0,-87.629296,41.8782,0,-87.629296,41.878183,0",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>19</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100019</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Monroe to Jackson</td> </tr> <tr> <td>TYPE</td> <td>Subway</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.859388,41.983507,0,-87.856686,41.983622,0,-87.853596,41.983746,0,-87.852382,41.983772,0,-87.850667,41.983788,0,-87.848143,41.983881,0,-87.845676,41.983976,0,-87.844774,41.983978,0,-87.843391,41.984031,0,-87.841857,41.984094,0,-87.840218,41.984189,0,-8",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>78</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100078</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Rosemont to Cumberland</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.649642,41.875516,0,-87.650398,41.875477,0,-87.651795,41.875466,0,-87.653755,41.875599,0,-87.655843,41.875779,0,-87.656806,41.875835,0,-87.656973,41.875847,0,-87.657386,41.875876,0,-87.657863,41.8759,0,-87.658208,41.875896,0,-87.658633,41.875895,0,-87.",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>150</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100150</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Racine to UIC-Halsted</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.677437,41.909744,0,-87.67572,41.9086,0,-87.673628,41.907259,0,-87.671036,41.905603,0,-87.670635,41.905377,0,-87.670143,41.905138,0,-87.669,41.904652,0,-87.668276,41.904403,0,-87.666496,41.903355,0",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>104</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100104</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Damen to Division</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.687364,41.916157,0,-87.685221,41.914767,0,-87.683819,41.913862,0,-87.682092,41.912735,0,-87.680993,41.912037,0,-87.679278,41.910918,0,-87.677437,41.909744,0",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>105</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100105</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Western to Damen</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.62944,41.883164,0,-87.629424,41.882128,0,-87.62942,41.882003,0,-87.629398,41.881345,0,-87.629379,41.880759,0,-87.629378,41.880703,0",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>46</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100046</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Washington to Monroe</td> </tr> <tr> <td>TYPE</td> <td>Subway</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.838026,41.984294,0,-87.836786,41.98434,0,-87.835612,41.984395,0,-87.834218,41.984467,0,-87.832755,41.984537,0,-87.831159,41.984573,0,-87.829591,41.984548,0,-87.828339,41.984506,0,-87.826844,41.984435,0,-87.825276,41.984313,0,-87.824049,41.984163,0,-87",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>79</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100079</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Cumberland to Harlem</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
