Station	Latitude	Longitude	Line	Artist	Title	Date	Material	Description	Extra	artLink
14th St-Union Square	40.735736	-73.990568	L N Q R W 4 5	Mary Miss	Framing Union Square	1998	GlassYYY enameled steelYYY and aluminum frames highlighting historic and architectural elements throughout station complex	Mary Miss worked with architect Lee Harris Pomeroy to use the rehabilitation of Union Square station as an opportunity to uncover hidden structural elementsYYY cablesYYY and conduits - some still functional and others replaced by new improvements.  Old decorative work reappeared during constructionYYY such as mosaicsYYY pilastersYYY name plaquesYYY and six terra cotta eagles from the 1904 stationYYY once presumed lost. *Miss brings these treasures to the surface though a network of framesYYY windowsYYY aperturesYYY and mirrors. The bright red frames stand out; what they frame is more subtle - a boltYYY a fragment of ancient-looking mosaicYYY a piece of rusted steel cable.  Other frames call attention to the station's historic name plaques.   ’I'm inviting the public to look below the surfaceYYY to see a 'slice' of the stationYYY its structureYYY its historyYYY says the artist.  In this most public of placesYYY the apertures offer an intimate engagement.  Looking inYYY you will see the station's workings - sometimes you will see layers of words and reflected imagesYYY including your own!’	in collaboration with Lee Harris Pomeroy Architects	"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=L&station=1"">Framing Union Square</a>"
14th St-Union Square	40.735736	-73.990568	LYYYNYYYQYYYRYYYWYYY4YYY5	Mary Miss	Framing Union Square	1998	GlassYYY enameled steelYYY and aluminum frames highlighting historic and architectural elements throughout station complex	Mary Miss worked with architect Lee Harris Pomeroy to use the rehabilitation of Union Square station as an opportunity to uncover hidden structural elementsYYY cablesYYY and conduits - some still functional and others replaced by new improvements.  Old decorative work reappeared during constructionYYY such as mosaicsYYY pilastersYYY name plaquesYYY and six terra cotta eagles from the 1904 stationYYY once presumed lost. *Miss brings these treasures to the surface though a network of framesYYY windowsYYY aperturesYYY and mirrors. The bright red frames stand out; what they frame is more subtle - a boltYYY a fragment of ancient-looking mosaicYYY a piece of rusted steel cable.  Other frames call attention to the station's historic name plaques.   ’I'm inviting the public to look below the surfaceYYY to see a 'slice' of the stationYYY its structureYYY its historyYYY says the artist.  In this most public of placesYYY the apertures offer an intimate engagement.  Looking inYYY you will see the station's workings - sometimes you will see layers of words and reflected imagesYYY including your own!’	in collaboration with Lee Harris Pomeroy Architects	"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=L&station=1"">Framing Union Square</a>"
161st St-Yankee Stadium	40.827905	-73.925651	BYYYDYYY4	Helene Brandt	Room of Tranquility	2002	GlassYYY stoneYYY and marble mosaic mural on 4 mezzanine wall	At the Yankee Stadium elevated stationYYY walls that open in Vito Acconci's shifting architectural forms reveal Helene Brandt's Room of Tranquility where all is peacefulYYY stillYYY and reassuring.  Trees and sky seem real; the space appears to expand and depth is convincingly suggested.  In the artist's wordsYYY ’I envisioned an imaginary room revealed behind the sliding tile walls - a quietYYY restful space with a radiant view to the outsideYYY a room of tranquility.  I wanted the room to have illusionary windows that would seem to let the outside world penetrate into the station.’  Brandt rose to the challenge of responding to the site with a work that relates to Acconci's in counterpoint.  As she statedYYY ’I want my {Room of Tranquility} to look as if it has always existed and is only now exposed to view by the sliding tile walls.’  Her site-specific achieves a place of serenityYYY yet close to the roar of the crowds.	in cooperation with Acconci Studio and di Domenico + Partners	"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Room of Tranquility</a>"
161st St-Yankee Stadium	40.827905	-73.925651	BYYYDYYY4	Vito Acconci (Acconci Studio)	Wall-Slide	2002	StoneYYY tileYYY and fiberglass installation throughout station complex	Vito Acconci creates the 161st Street Yankee Stadium station as an archaeological site and dislocates walls that allow the curious to ’see’ the stone and steel underneath.  ElsewhereYYY protruding and receding walls provide seating for waiting travelers.  Parts of the project thrust through floors and ceilings and at one point even project aboveground.  The overall effect is as if the station has been pushed and pulled in various directions to accentuate the relationship of the building to the earth into which it has been inserted. *This project was one of the first collaborative efforts undertaken by Arts for Transit. The architectsYYY di Domenico   PartnersYYY in their redesign of the stationYYY were challenged to open the lower levels to allow light to flow inside.	in collaboration with di Domenico + Partners	"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Wall-Slide</a>"
167th St	40.833769	-73.918432	4	Carol Sun	A Bronx Reflection	2007	Faceted glass in passageway windscreens	’Home is where the heart livesYYY’ a quote by artist Carol Sun's brotherYYY captures one of the themes of {A Bronx Reflection.}  Through colorful faceted glass windows along the east walkway of the stationYYY Ms. Sun portrays a metaphorical reflection of the BronxYYY capturing an illustrated timeline of the pastYYY presentYYY and future.   She includes various outdoor scenesYYY along with images of pleasant experiences of home and community life.  Capturing scenes of school busesYYY basketball gamesYYY and wildlifeYYY Carol Sun reflects upon fond childhood memories in the Bronx.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=4&station=1"">A Bronx Reflection</a>"
170th St	40.839306	-73.9134	4	Dina Bursztyn	Views from Above	2006	Faceted glass in platform windscreens and mezzanine windows	Dina Bursztyn's series of faceted glass windscreens and windows uses the unique vantage point offered from the elevated city's trains and platforms.  Bursztyn became especially well acquainted with the ’el’ in the Bronx while riding it for many years.  Explaining the inspiration for the workYYY Bursztyn says that the birds and trees told her stories.  She viewed tiny gardens of lushness and dreamed of the exotic animals living in the zoo nearby.  In the eveningYYY sunsets filled the sky with a kaleidoscope of color.  The train rides almost felt like riding through the clouds.  The artist strove to bring new meaning to familiar locations by sharing these visions.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=4&station=1"">Views from Above</a>"
174th St	40.837288	-73.887734	2YYY5	Daniel Del Valle	A Trip Up the Bronx River	2004	Faceted glass in platform windscreens and window niches	{A Trip Up the Bronx River} consists of ten faceted glass panels that depict a small group canoeing upstream and visiting such famous sites as the Bronx Zoo and the Botanical Garden.  En routeYYY they pass  various neighborhoodsYYY filled with colorYYY patternYYY and activity.  The artist also presents typical activities in which the community participatesYYY such as a street festivalYYY mask-makingYYY and the planting of new trees.  Representations of flowers can be found in the station window nichesYYY ’simple reflections of nature that surrounds usYYY’ says the artistYYY Daniel Del Valle.  ’Even though not everyone can take this magical trip up the river to view these sitesYYY the 2 and 5 trains can provide people easy access to travel to these locations.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">A Trip Up the Bronx River</a>"
176th St	40.84848	-73.911794	4	Juan Sánchez	Reaching Out For Each Other	2006	Faceted glass in platform windscreens and mezzanine windows	{Reaching Out for Each Other} by Juan Sánchez is a series of faceted glass windscreens and windows that brightens the 176th Street station with streaming rays of warm colors.  Hands are used as a central feature of the composition and serve to communicate meaning through a universal language.  Using printed photographs of hundreds of handsYYY Sánchez cut and tore the paperYYY interspersing the pieces with bright colors and interesting shapes to produce a variety of seasonal collages.  Sánchez explains his concept for the workYYY ’The challenge was to create simpleYYY directYYY and consistent works for an urban train station.  I wanted the artwork to be attractive and stimulating with much meaning and life. I wanted my art to visually convey people reaching and striving.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=4&station=1"">Reaching Out For Each Other</a>"
183rd St	40.858407	-73.903879	4	Jose Ortiz	Many Trails	2008	Laminated glass in west side mezzanine windows	To depict the cultural and history of University HeightsYYY artist Jose Ortiz focused on its architectureYYY landmarksYYY and signage on the local streetscapeYYY as a way to portray the people who lived here over time. The title of the work relates to the specific journeys of the areas many residentsYYY from Native AmericansYYY through today's immigrant population and to the idea of travel and how one finds ones way.*The first two panels of the 11panels he created show the land inhabited by the Siwanoy NationYYY a branch of the MohicansYYY until the late 1600sYYY followed by representations of the first settlement of Europeans in the area. Cornerstones of the neighborhood are also shown: the Croton AqueductYYY St. Nicholas of Tolentine ChurchYYY and the Hall of Fame for Great Americans at Bronx Community College. The workYYY which is to be read seriallyYYY begins and ends with a Native American symbol that refers to the connection between the many people who have call this place home.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=4&station=1"">Many Trails</a>"
191st St	40.855225	-73.929412	1	Raúl Colón	Primavera	2003	Glass mosaic and faceted glass on stairway wall	The artist visited the Washington Heights community and saw a diverse neighborhoodYYY filled with children.  His response was a glass mosaic of a soaring couple dancing in an idyllic landscape and two faceted glass windows of children at play.  The artist says that he wanted something that would be uplifting and that he was inspired by the imagery and symbolism of early Renaissance muralsYYY especially those of Piero della FrancescaYYY known for their serenity and clarity.  According to artist Raúl ColónYYY ’The couple represented dancing is ethnically diverse....’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=1&station=1"">Primavera</a>"
219th St	40.883895	-73.862633	2YYY5	Joseph D'Alesandro	Homage	2006	Faceted glass in platform windscreens	In Joseph D'Alesandro's faceted glass artworkYYY silhouettes of people are expressively rendered to communicate a variety of emotions and feelings.  The shapes of figures are created in colors that convey cultureYYY nationalityYYY ethnicity and individuality.  {Homage} contains geometric shapes that form the background of the workYYY distinguishing the foreground from the background.  The artist strives to communicate mood and feeling within a down-to-earth composition that uses vivid colors to portray the vibrant people it honors.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Homage</a>"
225th St	40.888022	-73.860341	2YYY5	Nicky Enright	Universal City	2006	Faceted glass in platform windscreens	In his portrayal of cityscapes with vast colorful skies full of energy and motionYYY Nicky Enright's faceted glass windows are a tribute to New York.  The artist created dramatic views with oversize skiesYYY minimizing the size of buildings and city.  He plays on space and direction to create fragmented viewsYYY contracting the angles of the subway.  The scene shows a calm city under heavens filled with constellationsYYY shooting starsYYY planetsYYY moons and vibrant sunsets.  Through the artworkYYY Enright encourages commuters to contemplateYYY if only for a momentYYY the mystery and excitement of the city and its place in the universe.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Universal City</a>"
231st St	40.878856	-73.904834	1	Felipe Galindo	Magic Realism in Kingsbridge	2008	Faceted glass in platform windscreens	In the past it might have been easy for Kingsbridge area residents to go about their daily business without a thought given to their neighborhood's history and surroundings-places like  Kingsbridge HillsYYY Ewen ParkYYY Harlem RiverYYY Jerome Park ReservoirYYY and Spuyten Duyvil Creek. This is no longer the case. Felipe Galindo's {Magic Realism in Kingsbridge} stems from his study of the area's residents and his hopes that the imagery in his designs will engage the audienceYYY inspiring them to meditate on their surroundings and see things they take for granted in a different way. *Galindo says he sought to discover the unexpected treasures in the neighborhood-its lifeYYY diversityYYY natureYYY and most of all the power of imagination. Each element in the faceted glass panels presents a surprising scene. For exampleYYY a tropical island is found in the Harlem RiverYYY and a fire escape leads to the heavensYYY providing a sense of magic.  Galindo feels that his artworkYYY with its combination of urbanYYY naturalYYY surreal and historical elementsYYY provides an opportunity for viewers to experience something intriguing or surprising each time they pass through the 231 Street subway station.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=1&station=1"">Magic Realism in Kingsbridge</a>"
233rd St	40.893193	-73.857473	2YYY5	Skowmon Hastanan	A Secret Garden: There's No Place Like Home	2006	Faceted glass in platform windscreens and mezzanine windows	Through her faceted glass artworkYYY Skowmon Hastanan has woven nature into the station for the public to enjoy.  Reflecting the nearby New York Botanical GardenYYY images of fishYYY flowersYYY and greenery transform the environmentYYY providing commuters with a beautifulYYY luminous scene to contemplate.  Skowmon creates a sanctuary from the chaos and stress of daily lifeYYY providing a source of energy and rejuvenation in her detailed renderings in glass.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">A Secret Garden: There's No Place Like Home</a>"
23rd St	40.741303	-73.989344	6	Valerie Jaudon	Long Division	1988	Painted steel railings on downtown platform	Valerie Jaudon's {Long Division} at Lexington Avenue and 23rd Street serves as a functional security device and a welcoming entry.  The 60-foot-long steel fence is an intricate pattern of crisscrossing arches and vertical lines that was designed by the artist to work as panels that form a unified set of connecting arch patterns.  ’The idea was to make a fence that functions as combination of wallYYY doorYYY windowYYY and column that allows you to see the entire stationYYY’ Jaudon says of her work.  Based on the success of Jaudon's ornamental work at 23rd StreetYYY the MTA determined that similar artist-designed railings should be incorporated system-wide.  {(See 96th Street.)}		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=6&station=1"">Long Division</a>"
23rd St	40.741303	-73.989344	NYYYRYYYW	Keith Godard	Memories of Twenty-Third Street	2002	Glass mosaic on platform walls	From the 1880s through the 1920sYYY 23rd Street was a major vaudevilleYYY entertainmentYYY and cultural districtYYY and ’Ladies MileYYY’ the fashion and department store haven of the timeYYY was located nearby.  In his mosaic {Memories of 23rd Street}YYY Keith Godard represents area through the various hats they might have worn.  The celebrities he had in mind include Jim BradyYYY Oscar WildeYYY Sara BernhardtYYY Mark TwainYYY and Lillian Russell.  Godard saysYYY ’In addition to bringing back memories of the specific time period and people and appealing to the viewers on a more common level as fascinating hatsYYY this design can also serve as an interactiveYYY playfulYYY and witty landmark.  As a diversionYYY passengers waiting for the subway train might try to picture people on the opposite platform ’wearing’ the hats they are standing beneath!’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=N&station=1"">Memories of Twenty-Third Street</a>"
23rd St-Ely Avenue/Long Island City 	40.741303	-73.989344	EYYYVYYYG	Elizabeth Murray	Stream	2001	Glass mosaic on walls in passageway connecting the EYYY V to the G	Elizabeth Murray titled this work {Stream}YYY to evoke the feet of travelers as they stream out along the passageway.  Murray has shifted from abstraction to recognizable imagery throughout her career and in this workYYY she created magical forms that reveal her artistic spirit in the vibrant colored mosaics that fill the passageway.   Murray also used imagery with her earlier projectYYY {Blooming}YYY in the Lexington Avenue and 59th  Street station.  Here the radiant colors evoke the new day with rising suns and the giant steps being takenYYY as the organic and joyous shapes provide an uplifting jolt of energy to the commuters streaming past.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=E&station=1"">Stream</a>"
23rd St-Ely Avenue/Long Island City 	40.741303	-73.989344	EYYYVYYYG	Frank Olt	Temple Quad Reliefs	1992	Glass mosaic and ceramic reliefs on station platforms and mezzanine	The artwork consists of four large-scale ceramic murals that contain sculpted forms that depict architectural formations set into a mosaic background.  Frank Olt feels that the Archways represent a symbol of welcomeYYY strength and beauty. Their form and rich color derive from Romanesque architectureYYY and provide a welcoming point of entry.  The {Gothic Circle} symbolizes enduranceYYY renewal and perpetuityYYY and is designed to inspire commuters traveling to and from work.  The {Greek Temple Quad}YYY as Olt describes itYYY ’consists of four house-shaped piecesYYY and reinforces the theme of welcome and comfortYYY but itself resembles a cityscape or place of commerce with all the societal vitality that it implies.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=E&station=1"">Temple Quad Reliefs</a>"
23rd St-Ely Avenue/Long Island City	40.741303	-73.989344	EYYYVYYYG	Elizabeth Murray	Stream	2001	Glass mosaic on walls in passageway connecting the EYYY V to the G	Elizabeth Murray titled this work {Stream}YYY to evoke the feet of travelers as they stream out along the passageway.  Murray has shifted from abstraction to recognizable imagery throughout her career and in this workYYY she created magical forms that reveal her artistic spirit in the vibrant colored mosaics that fill the passageway.   Murray also used imagery with her earlier projectYYY {Blooming}YYY in the Lexington Avenue and 59th  Street station.  Here the radiant colors evoke the new day with rising suns and the giant steps being takenYYY as the organic and joyous shapes provide an uplifting jolt of energy to the commuters streaming past.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=E&station=1"">Stream</a>"
23rd St-Ely Avenue/Long Island City	40.741303	-73.989344	EYYYVYYYG	Frank Olt	Temple Quad Reliefs	1992	Glass mosaic and ceramic reliefs on station platforms and mezzanine	The artwork consists of four large-scale ceramic murals that contain sculpted forms that depict architectural formations set into a mosaic background.  Frank Olt feels that the Archways represent a symbol of welcomeYYY strength and beauty. Their form and rich color derive from Romanesque architectureYYY and provide a welcoming point of entry.  The {Gothic Circle} symbolizes enduranceYYY renewal and perpetuityYYY and is designed to inspire commuters traveling to and from work.  The {Greek Temple Quad}YYY as Olt describes itYYY ’consists of four house-shaped piecesYYY and reinforces the theme of welcome and comfortYYY but itself resembles a cityscape or place of commerce with all the societal vitality that it implies.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=E&station=1"">Temple Quad Reliefs</a>"
