Station	Latitude	Longitude	Line	Artist	Title	Date	Material	Description	Extra	artLink
Crescent St	40.683194	-73.873785	"J,Z"	Jung Hyang Kim	Wheel of Bloom-Soak up the Sun	2007	Faceted glass in platform windscreens	"Jung brightens the commuter's environment with happy expressiveness in her art.  While standing on the platform, Jung was struck by the view of the vast blue sky.  Designs that symbolize the sun and the wheel of the trains feature a series of circles and vibrant colors that add complexity.  The colors reflect the cycle of the da,Y beginning with yellow for morning and blue for night.  The circular shapes also reflect the movement and life of the neighborhood."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=J&station=1"">Wheel of Bloom-Soak up the Sun</a>"
Atlantic Av-Pacific St	40.683666	-73.97881	"B,D,M,N,Q,R,2,3,4,5"	George Trakas	"Hook (Archean Reach), Line (Sea House), and Sinker (Mined Swell)"	2004	"Polished granite, brushed steel, limestone, and Rockville granite throughout station"	"The array of subway and rail lines at the Atlantic Avenue-Pacific Street and LIRR's Terminal presented a perfect opportunity for an ?architect/artist? collaboration to unify passages and stairways, creating a coherent and efficient space.  George Trakas  uses forms and materials that underscore the structure and beauty of the cavernous space. *Trakas selected the stone pavers and bollards for the plaza area.  The architects designed a skylight for the historic station kiosk and Trakas added a small peephole equipped with a lens that provides a view from the street to the light-filled space below.  The viewer spies a boat-shaped gantry of stainless steel and mesh beneath the skylight.  A granite ?wave? runs along the walls and crests at the point where the two stations, Atlantic Avenue and Pacific Street, meet - linking the passageways.  Referencing the names {Atlantic} and {Pacific}, the overarching concept is a place of landing and departure - functions shared by train stations and seaports."	in collaboration with di Domenico + Partners	"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Hook (Archean Reach), Line (Sea House), and Sinker (Mined Swell)</a>"
Halsey St	40.68637	-73.916559	"J,Z"	 SOL'SAX	SOL'SCRYPT	2008	Faceted glass in mezzanine windows and platform windscreens	"Based upon African and African-American culture and history and fused with the contemporary music and pop culture from his Brooklyn neighborhood, SOL'SAX's faceted glass project addresses in visual form the layers of memory and culture that  influence and inspire his work.*The vibrant colors and intricate designs in the art panels represent the artist's creative explorations. Images of city life are melded with symbols of ancient African cultural influences and relics. The compositions are intended to provide guidance, and protection, inspiration for all traveling through the station."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=J&station=1"">SOL'SCRYPT</a>"
Nevins St	40.688246	-73.980492	"2,3,4,5"	Anton van Dalen	Work & Nature	1997	Porcelain enamel frieze on mezzanine walls	"{Work & Nature} was inspired by the artist's interest in the Nevins Street station and its aesthetic history.  The artwork consists of porcelain enamel steel plates that use the same soft blue, green, and ochre tones as in the original mosaics, which are detailed with stenciled silhouettes printed in black - a woman operates a sewing machine, an architect reads a blueprint, a mother looks after a child, a man plants a tree, famed blues singer Furry Lewis plays the guitar, and a woman addresses a meeting.  The historic  mosaic patterns that ran along the station's walls were water damaged and on the brink of permanent loss.  Moved by the mosaics' plight, Anton van Dalen decided to preserve ?the station's olden elegance and grand beauty? and, at the same time, to create a tribute to the people who use the station.  For the artist, these figures symbolize ?the pride, dignit,Y and beauty surrounding all work.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Work & Nature</a>"
Gates Av	40.68963	-73.92227	"J,Z"	Chris Wade Robinson	Dream Train	2002	Faceted glass in mezzanine windows and platform windscreens	"In {Dream Train}, Chris Wade Robinson pays tribute to the spirit of the subway in his 16 panels of faceted glass that narrate the daily motions of residents interacting with the movement of trains through the urban landscape.  Robinson says, ?A simple subway ride is a cultural exploration, a cross-section of a city as it moves from past to present and on to tomorrow.  All races, creeds, and colors interconnect on a common path to an endless variety of destinations. Each rider is enriched by daily discoveries of new faces, places, and things....They are vignettes made of memory and experience, an ode to a lifetime spent riding in and dreaming on the train, as it speeds through the darkness and into the light.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=J&station=1"">Dream Train</a>"
DeKalb Av	40.690635	-73.981824	"B,M,Q,R"	Bill Brand	Masstransiscope	1980 (Restored 2008)	"Hand painted panels, Lighting"	"A disarmingly simple artwork, placed in the unused subway station at Myrtle Avenue in 1980, has been restored. {Masstransiscope} turns the subway into a movie machine, presenting a colorful, animated ?moving picture? to commuters as the train moves through the tunnel. With heavy cleaning by volunteers, the artwork became visible again in 2008. *The artwork has been viewed by millions of commuters from subway cars leaving the northbound platform of the DeKalb Avenue station on the express track. The 228 hand-painted panels are viewed through a series of vertical slits set into a specially constructed housing that runs the full 300' length of the old station. The piece works on the principle of the Zoetrope, a 19th century optical toy. *The movement of the train passing in front of the exhibition creates the illusion of a 20-second animated movie. In a regular movie the film passes through a projector to create an illusion of motion and the audience sits still. With {Masstransiscope} it is the audience that moves while the film stays in place."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Masstransiscope</a>"
DeKalb Av	40.690635	-73.981824	"B,M,Q,R"	Stephen Johnson	DeKalb Improvisation	2005	Glass mosaic on mezzanine walls	"Stephen Johnson describes his mosaic mural and his inspiration for the energy it conveys: ?My idea for these murals is to convey a sense of joy through an exuberant juxtaposition of colors, shapes, and familiar images. ... On the surface, the variety of colors and shapes in the mosaics resemble collages and invite the traveler to consider the multiple layers of images found on city walls, particularly in the subwa,Y where posters may tear, revealing previous images and forming exciting compositions....The glass is as diverse as the station's passengers, whose ethnic origins stem from Asia, Africa, and the Middle East. ... I wanted the abstract design to be balanced with realistic images that people can instantly get.?  The work brings vibrancy and texture to the station environment."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">DeKalb Improvisation</a>"
Jay St-Borough Hall	40.693219	-73.989998	"A,C,F"	Ben Snead	Departures and Arrivals	2009	Glass Mosaic and Ceramic Tile on South Mezzanine wall	"The intricate play of nature is the theme of Ben Snead's mosaic and tile artwork, which fills the south mezzanine with bold color and intricate patterns along a specially designed 103 foot-long curved wall. The work exhibits the artist's interest in natural species and ways of arranging them in systems and patterns that highlight the connections and relationships between dissimilar species. *The artwork - created in glass mosaic based on Snead's original paintings - features species that have migrated to Brooklyn as well as one species that is departing.  He arranges the species in layers that can be seen from left to right: European starling (originally from England), a house sparrow (Europe), Red Lion fish (Indian Ocean), Monk parrot (South America) and Koi (Japan).  The Tiger Beetle is represented on a tile background; a local species that is in decline. The result is a bold and graphic set of images that intrigue and delight passersby during their own departures and arrivals."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">Departures and Arrivals</a>"
Kosciuszko St	40.693342	-73.928814	J	Ron Calloway	Euphorbias	2002	Faceted glass in mezzanine windows and platform windscreens	"In {Euphorbias,} the artist used botanical imagery as a metaphor for life and growth in the communities that surround the elevated Kosciuszko Street station.  The artwork consists of 16 faceted glass panels and creates the sensation of growth, as if energy is radiating outward from the center of the images to the tips of the forms.  Brightly colored plants, some of which resemble the sun and its rays, are in full bloom on the platform."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=J&station=1"">Euphorbias</a>"
Myrtle-Wyckoff Avenues	40.694568	-73.949046	"L,M"	Cadence Giersbach	From Earth to Sky	2006	"Ceramic, glass, and marble mosaic"	"{From Earth to Sky} depicts a fantastical view from the station as if one were looking up through a canopy of foliage filled with birds and butterflies beneath a sky that shimmers when light hits the glass mosaic tiles.  The imagery fills the overhead circular ceiling, providing the viewer with a joyful visual escape at this busy transit hub.  Within the center, the view is reversed and we see a birds-eye map view of the city within an ?oculus?.  The location of the station is pinpointed, surrounded by the vastness of New York City."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=L&station=1"">From Earth to Sky</a>"
111th St	40.695178	-73.84433	"J,Z"	Kathleen McCarthy	Five Points of Observation	1990-93	Wire-mesh sculpture in platform windscreens	"{Five Points of Observation}, sited on the platform walls of five adjacent subway stations in Queens and Brooklyn,  is composed of five colossal six-foot heads made of copper mesh positioned at different angles and inserted in specially cut openings in the windscreen walls that otherwise would block views from the platforms to the streets below.  Positioning themselves in the heads, subway riders can look out onto the world literally through the eyes of the sculptural forms.  The artist created faces both multiethnic and androgynous, leaving room for viewers to construct for themselves stories of who these haunting forms might be and what they might signify.  The faces are constructed with steel armatures and a grid of wire mesh, which serves a protective as well as expressive function.  The positioning of the forms varies from station to station, giving them further variety and expressiveness."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=J&station=1"">Five Points of Observation</a>"
Myrtle Av	40.697207	-73.935657	"J,M,Z"	Verna Hart	Jammin' Under the EL	1999	Faceted glass in mezzanine windows and platform windscreens	"{Jammin' under the EL} honors the community's character with windows and windscreens composed of colorful faceted glass panels that depict an imaginary jazz combo with drums, piano, guitar, bass, flutes, saxophones, trombones, and trumpets.  The sounds of percussion instruments are powerfully suggested, and jiving vocalists complete the picture.  Hart says that {Jammin' under the EL} is ?a kind of jam session of the mind.  A little imagination is all that's needed to enjoy a dozen solo performances in the panels.  You can board the jazz express and take a jazz, rock, funk, or salsa journey of your choice.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=J&station=1"">Jammin' Under the EL</a>"
Clark St	40.697466	-73.993086	"2,3"	Ray Ring	Clark Street Passage	1987	Terrazzo floor in lower passageway	"{Clark Street Passage} is an intriguing artwork within the floor of the station that uses three geometric shapes - circles, squares, and triangles against a black background.  When transit customers walk down the passage they are exposed to all the configurations that can be made from these basic elements, which create a flowing sense of movement.  The study of constantly shifting geometric patterns is derived from artist Ray Ring's earlier work which was heavily influenced by early geometric abstract art from the early 20th century."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Clark Street Passage</a>"
Flushing Av	40.70026	-73.941126	"J,M"	Robin Holder	Migration	2006	Laminated glass in mezzanine windows and platform windscreens	"This extensive artwork contains 34 panels of laminated glass, that focus on the artist's exploration, in her words, of ?spatial relationships, color, and movement as well as issues of humanit,Y culture, and identity.?  The imagery is abstract, with precision in the quality of line and forms, which was a particular challenge since the medium is glass.  Robin Holder says images ?incorporate symbols from various cultures that relate to the theme of: interaction, movement, and society in motion. I hope that this work promotes a sense of celebration and reflects the vivacit,Y energy and liveliness of my fellow New Yorkers who use the Flushing Avenue Station.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=J&station=1"">Migration</a>"
South Ferry	40.702068	-74.013664	1	Doug & Mike Starn	"See it split, see it change"	2009	"Glass, stone mosaic, and stainless steel on mezzanine walls"	"The new monumental work at the South Ferry Terminal by Mike and Doug Starn investigates the nature of objects and transformation using light and documentary sources. A fused glass wall reveals images of tree limbs and leaves in silhouette adapted from photographic imagery. These formations relate to the place above, Battery Park, the historic fortress and Manhattan's southern boundary. The glass brings light and poetry to the station, the City's first new subway station in decades. *Companion pieces show a decayed over-scaled leaf that refers to the passage of time and links the park to its historical role. A map, that shows contemporary Manhattan and old New York as an overla,Y is a beautiful mosaic and eloquent expression of the city's evolution, conveying to the throngs who use the station, a sense of its significant location. The artists designed a laser-cut stainless steel fence to separate the entry from the paid section of the station; its leaf motif connects the art in the station with the surrounding environment. *The Starns' work combines various forms, such as sculpture, painting, video, and installation. Their work has been exhibited in museums and galleries worldwide for more than two decades. In South Ferr,Y their explorations of light and dark, nature and technolog,Y come together in an evocative artwork. Its title refers, among other associations, to the South Ferry subway line, which becomes a network of splitting lines that travels through the changing landscape as seen in the map. As the artwork reveals, the City and its lifelines evolve in an organic form, as dropping leaves lead to new growth, the City keeps growing - and changing."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=1&station=1"">See it split, see it change</a>"
Jamaica Center-Parsons	40.702566	-73.816859	"E,J,Z"	Sam Gilliam	"Jamaica Center Station Riders, Blue"	1991	Painted aluminum sculpture on wall above entrance	"The wall sculpture consists of two elements, a large ellipse and an armature that holds it, constructed of aluminum plate with deep welds.  Gilliam's has long been interested in sculptural and theatrical work that interacts with the space it inhabits.  He began draping his canvases and this led to his public sculpture such as this piece, where aluminum has taken the place of a canvas.  In the artist's words, the work ?calls to mind movement, circuits, speed, technolog,Y and passenger ships...the colors used in the piece... refer to colors of the respective subway lines.  The predominant use of blue provides one with a visual solid in a transitional area that is near subterranean.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=E&station=1"">Jamaica Center Station Riders, Blue</a>"
Whitehall St	40.703087	-74.012994	"R,W"	Frank Giorgini	Passages	2000	"Handmade ceramic relief tiles, ceramic mosaic, cut granite floor tile, bronze, and forged steel railings in full-time mezzanine; handmade ceramic relief tiles in part-time mezzanine"	"For the restoration of the Whitehall Street subway station, Frank Giorgioni designed elements in ceramic, stone and metal to blend with the historic fabric of the station, such as the original bands of mosaic tile work.  The cityscape begin at the entrance of the station with a view of the city today and then travel backward through time, through the age of steamships, a montage of New Amsterdam, the arrival of the first settlers, and finally the era before European settlement, with Native American canoes and a marshland of flora and fauna.  In another area, schools of fish are seen, in both two- and three-dimensional form, accompanying a mosaic of sea and sky.  Railings in the area are in the form of cattails, capping Giorgioni's homage to the past."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=R&station=1"">Passages</a>"
Lorimer St	40.703869	-73.947408	"J,M"	Annette Davidek	Roundlet Series	2002	Faceted glass in mezzanine windows and platform windscreens	"Annette Davidek's murals at Lorimer Street in Brooklyn illustrate the fractured and fragmented language of nature in a medium well-suited for her expressive work. {Roundlet Series} reveals the countless varieties of organic forms in botany. At times the murals recall blossoming flowers, twisting branches, or meandering patterns that mimic genetic elements. The challenge in translating the artist's work-on-paper into the faceted glass murals was to capture the detail and complexity of the compositions while maintaining their captivating qualities.  Faceted glass delivers a striking quality of translucenc,Y texture, and range of color.  Dramatic contrasts between the contour and the content becomes apparent against the background and the result adds vibrancy to the station platform."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=J&station=1"">Roundlet Series</a>"
Wall St	40.706821	-74.0091	"2,3"	Harry Roseman	Subway Wall	1990	"Bronze relief on wall in passageway to 60 Wall Street, sponsored by JP Morgan"	"Artist Harry Roseman created a bronze wall relief for the station that respects and highlights the underlying geology of the area while providing an experience for unsuspecting commuters.  As he described his work, ?[This site] is underground, in the 'earth', under an urban setting...  Rocks are interspersed among tiles. The rocks in this situation could actually have been a part of the excavation process for the subway tunnel ... [and they] thus become a symbol for the process of building the tunnel and for being underground... The path and stairs as well as the tiles ... intermingle nature with the man-made. The built aspect of the stairs also alludes to the built environment, the city. The landscape could be the kind of place that was here before this was an urban center ...  The curve [of the tunnel] ... was also the perfect opportunity to twist the perspective of the staircase to reiterate the curve and suggest the going from one type of environment to another.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Subway Wall</a>"
Hewes St	40.70687	-73.953431	"J,M"	Mara Held	El in 16 Notes	2002	Faceted glass in mezzanine windows and platform windscreens	"Artist Mara Held's {El in 16 Notes} is a meditation on variations in pattern caused by differing qualities of light and the creation of overlapping forms and layers. The inspiration for the imagery of the piece was originally derived from cut-out dress patterns.  Through the minimal yet elegant shifts in color and pattern that are occasionally pierced by playful curving lines, the work enables the viewer to witness the light and the neighboring skyline as it emerges through the glass planes.  Held played particular attention to the colors and role of natural light to animate and illuminate the work, which graces the platform with light and color."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=J&station=1"">El in 16 Notes</a>"
Marcy Av	40.708359	-73.957757	"J,M,Z"	Ellsworth Ausby	Space Odyssey	2004	Faceted glass in mezzanine windows and platform windscreens	"Ellsworth Ausby created eight triptychs for the station's platform windscreens that explore the relationship of man to the universe.  In a subtle wa,Y the brilliantly colored forms evoke the feeling of the swirling cosmos.  For this commission, the artist produced a series of drawings later translated into a faceted glass.  According to the artist, he is particularly attracted by ?the idea of traveling in infinite space, which is as a passenger on the Earth Express line, experienced through the cycle of the seasons.?  He was particularly pleased to work with faceted glass windows, ?a new and exciting medium for me to work with,  ...  These windows have allowed me to expand my understanding of the possibilities that this concept has as public art,....It is my hope that these windows express what I feel is the spirit of New York, the hustle and bustle, the fast pace of the city.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=J&station=1"">Space Odyssey</a>"
Fulton St/Broadway-Nassau	40.710368	-74.009509	"A,C,J,M,Z,2,3,4,5"	Nancy Holt	Astral Grating	1987	"Steel and light sculpture in passageway ceiling between A, C and 4, 5 stations"	"Nancy Holt's steel ceiling sculpture incorporating lighting at the Fulton Street/Broadway-Nassau subway station, is an example of Arts for Transit's early efforts to foster collaborations with station architects, (in this case, Lee Harris Pomeroy) to integrate the artwork with the architecture.   An environmental artist, Holt creates art by giving physical form to universal cycles of the sun, moon, and stars. *In {Astral Grating}, Holt has surrounded lights with graduated circular rings making domed openings in a dropped steel grate ceiling.  ?The rings and light fixtures in this ceiling light sculpture are in the configuration of the stars in five constellations: Aries, Auriga, Canis Major, Cygnus, and Piscus Austrinus,? says Holt.  The number of lights in a cluster and the diameter of the domed openings vary in size according to the brightness of the stars represented. *{The plan for the new Fulton Street Transit Center, includes the reinstallation of Astral Grating  in the reconfigured passageways.}"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">Astral Grating</a>"
Fulton St/Broadway-Nassau	40.710368	-74.009509	"A,C,J,M,Z,2,3,4,5"	Frederick Dana Marsh	Marine Grill Murals	ca. 1913; installed 2000	"Glazed terracotta murals and painted cast iron gates created for the McAlpin Hotel in 1913; reinstalled in passageway;  to be relocated to the new Williams Street entrance to the A, C, 2, 3 as part of"	"At the turn of the twentieth century the McAlpin Hotel was one of the places to be seen.  Frederick Dana Marsh created a series of twenty terra cotta murals for its walls, with maritime themes celebrating New York's important seaport.  Times change, and the hotel became apartments and the murals were removed.  In 2000, six of the murals were installed in the station and was the Marine Grill's famed ironwork entrance gate.  All of this blends well with the terra cotta plaques installed elsewhere in the system by the original builders of the subway. *{The rebuilding of the station, as part of the Fulton Street Transit Center, is underway and requires the murals' removal, restoration, and relocation.}"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">Marine Grill Murals</a>"
Cortlandt St	40.710668	-74.011029	"N,R,W"	Margie Hughto	"Trade, Treasure and Travel"	1997	Handmade ceramic relief tiles in passageway (closed for renovation until 2007)	"The Cortlandt Street subway station is located beneath the site of the World Trade Center; destroyed on September 11, 2001.  Margie Hughto's ceramic relief tiles were undamaged and will be reinstalled in the new passageway connecting the station with the nearby Fulton Street Transit Center.  {Trade, Treasure and Travel} harks back to when Cortlandt Street ended at a ferry landing on the Hudson River, a main trade route in and out of the city.  The artist says, ?I thought about all the different peoples, products, objects, and money that passed through the area, and I visualized a treasure vault filled with coins, gems, and artifacts - rich, golden, glowing, and somewhat mysterious.?   Hughto created 12 related relief panels in ceramic tile in which she crafted objects relating to finance and trade - coins, compasses, boats, streetcars, keys, and ships.  Creatures connected with the sea and trade also appear.  A central image features Wall Street's bull and bear mascots, and a large old-fashioned compass and a chart of the stars complete the work's historic sweep."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=N&station=1"">Trade, Treasure and Travel</a>"
Brooklyn Bridge-City Hall/Chamber St	40.713065	-74.004131	"4,5,6,J,M,Z"	Mark Gibian	Cable Crossing	1996	"Stretched steel cable skylight sculpture and railings in entrance area of 4, 5, 6"	"The Brooklyn Bridge's pioneering use of steel cables and a suspended roadway are repeatedly referenced in the design of artist Mark Gibian's work. Within the west mezzanine a web of cables recalls the graceful forms of the bridge, while overhead a 30-square foot structure, suspended beneath a skylight, frames the cable work.   At the turnstiles, three panels that also use cables serve as a functional barrier.   For the artist, the ?lacy? curves of the panels ?echo the beauty of the bridge's cross-hatched cables and the feeling of flight as it springs across the East River.?  The energy of {Cable Crossing} suggests ?the controlled power of the subway and its network of metal and concrete that undergirds the city.   I wanted to explore movement, using soft curves with hard materials,? Gibian says."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=4&station=1"">Cable Crossing</a>"
Chambers St /Park Place	40.714111	-74.008585	"A,C,E,2,3"	Andrew Ginzel & Kristin Jones	Oculus	1998	Stone mosaic on walls throughout station complex; stone and glass floor mosaic at Park Place entrance	"{Oculus} is located in passageways under the World Trade Center and was largely untouched by the events of 9/1l.  {Oculus} will also be visible at the Cortlandt Street Station after construction is completed.  Jones and Ginzel's work consists of over 300 unique mosaic renderings that use the oculus - the eye - as the central symbol.  In their words, ""Oculus was created to personalize and integrate the stations.  Eyes are both subtle and strong - they engage passing individuals, allowing for meditation or inviting dialogue.""  The eyes are from the artists' photographs taken in New York , which were selected for the diversity of the  subjects' eyes.  An enormous central eye set in the floor, grounds the composition and serves as the centerpiece of a map of the world which radiates outward."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">Oculus</a>"
Chambers St/Park Place	40.714111	-74.008585	"A,C,E,1,2,3"	Andrew Ginzel & Kristin Jones	Oculus	1998	Stone mosaic on walls throughout station complex; stone and glass floor mosaic at Park Place entrance	"{Oculus} is located in passageways under the World Trade Center and was largely untouched by the events of 9/1l.  {Oculus} will also be visible at the Cortlandt Street Station after construction is completed.  Jones and Ginzel's work consists of over 300 unique mosaic renderings that use the oculus - the eye - as the central symbol.  In their words, ?Oculus was created to personalize and integrate the stations.  Eyes are both subtle and strong - they engage passing individuals, allowing for meditation or inviting dialogue.?  The eyes are from the artists' photographs taken in New York , which were selected for the diversity of the  subjects' eyes.  An enormous central eye set in the floor, grounds the composition and serves as the centerpiece of a map of the world which radiates outward."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">Oculus</a>"
Chambers St/Park Place	40.714111	-74.008585	"A,C,E,2,3"	Andrew Ginzel & Kristin Jones	Oculus	1998	Stone mosaic on walls throughout station complex; stone and glass floor mosaic at Park Place entrance	"{Oculus} is located in passageways under the World Trade Center and was largely untouched by the events of 9/1l.  {Oculus} will also be visible at the Cortlandt Street Station after construction is completed.  Jones and Ginzel's work consists of over 300 unique mosaic renderings that use the oculus - the eye - as the central symbol.  In their words, ?Oculus was created to personalize and integrate the stations.  Eyes are both subtle and strong - they engage passing individuals, allowing for meditation or inviting dialogue.?  The eyes are from the artists' photographs taken in New York , which were selected for the diversity of the  subjects' eyes.  An enormous central eye set in the floor, grounds the composition and serves as the centerpiece of a map of the world which radiates outward."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">Oculus</a>"
Canal St	40.718092	-73.999892	"A,C,E"	Walter Martin and Paloma Mu?oz	A Gathering	2001	"Bronze sculptures on token booth, railings, and beams throughout mezzanine"	"Walter Martin and Paloma Mu?oz have turned the Canal Street Station into a subterranean aviary.  There are dozens of birds - 174 grackles and blackbirds, in a number of different poses, and seven crows, all cast in bronze and given a glossy black patina.  They are seen roosting on railings and perched in groups, like people waiting for the train, watching, lost in thought, or chatting.  Birds, the artists note, are very social creatures - just like New Yorkers, and riders may find echoes of themselves and other subway riders in their lively expressions.  Canal Street is a busy commercial thoroughfare, devoid of nature.  {A Gathering} compensates for this by enlivening the space and providing respite from the dense traffic and bustling commercialism above."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">A Gathering</a>"
Canal St	40.718092	-73.999892	"J,M,N,Q,R,W,Z,6"	Bing Lee	Empress Voyage 2.22.1794	1998	Ceramic tiles and mosaic banding on platform walls and connecting passageway	"Bing Lee's {Empress Voyage} commemorates the pioneering expedition of the American merchant ship, Empress of China, which in 1794 returned to New York harbor filled with silk, tea, and porcelain (commonly called china, due to its origin).  Through the artist's lighthearted use of Chinese-derived icons, the tiles illustrate aspects of the then-new trade with Asia and celebrates today's Chinatown.  On the platforms, interlocking teapots incorporate the Chinese symbol for ?good life.?  Other symbols, on the station's upper level, are variations on the symbols for ?Asia,? ?qualit,Y? and ?cycle.?  As trains arrive, debarking passengers are given a choice of reading ?Canal Street? in English or the Chinese characters for ?Chinatown.? ?I want to give the viewers art that reminds them of histor,Y but also speaks directly to them,? says Lee, ?something meaningful but also playful.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=J&station=1"">Empress Voyage 2.22.1794</a>"
Delancey St-Essex St	40.718315	-73.987437	"F,J,M,Z"	Ming Fay	"Shad Crossing, Delancey Orchard"	2004	Glass mosaics on platform and mezzanine walls	"Ming Fay brings to the station the liveliness of the thriving marketplace overhead in this storied Lower East Side neighborhood.  The artist extensively researched the neighborhood's histor,Y and created by watercolor sketches that were transformed into glass mosaic murals by craftsmen.  The images of Shad Crossing celebrate the return of the once abundant fish to New York and water as a metaphor for ?crossing.? {Delancey Orchard} is the mural on the Manhattan-bound platform, inspired by the prominent  DeLancey family's eighteenth century farm, which stretched from the East River to the Hudson River.  The farm's cherry orchard was located where Orchard Street stands and is memorialized with radiant cherry trees on the Brooklyn-bound platform."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=F&station=1"">Shad Crossing, Delancey Orchard</a>"
Prince St	40.724329	-73.997702	"N,R,W"	Janet Zweig and Edward del Rosario	Carrying On	2004	"Steel, marble, and slate frieze on platform walls"	"{Carrying On} is composed of almost two hundred silhouettes of people hauling ?stuff? with them as they walk the city streets.  The artist team worked from photographs of individuals moving around the city and in and out of the subway.  According to the artists, the title of {Carrying On} can be read in a variety of ways.  ?People on the streets of New York are almost always carrying something, sometimes something huge and outlandish.  After the 9/11 traged,Y New Yorkers felt that they must carry on with their lives.  Finall,Y New Yorkers are notoriously opinionated and lively; they really do 'carry on.'?  The result is a linear narrative work of miniature figures, each of whom has a story it is up to the viewer to discern.  It is an engaging work that represents the community and updates the materials used on subway station walls, with its waterjet-cut steel and marble, that achieves both precision and a modern take on the traditional frieze."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=N&station=1"">Carrying On</a>"
Houston St	40.728251	-74.005367	1	Deborah Brown	Platform Diving	1994	Glass mosaic on platform walls	"Brown's seven glass mosaics are given a whimsical qualit,Y as the artist creates aquatic creatures that act like humans as they wait for the train to arrive at their underwater station.  A realistic beluga whale slides behind a commuter to read the newspaper headlines, and in another scene, a manatee waits patiently for a train seen approaching in the tunnel.  Turtles dive off a subway platform in the title piece of the series.  ?I wanted to explore the analogy between subway travel and the movement of our fellow creatures through their natural environment,? Brown says.  ?Underwater creatures navigate a complex spatial array of undersea passageways, much as we maneuver through our own manmade systems.  I thought it would be provocative to portray them in a part of our world most closely resembling their own, but involved in activities familiar to us.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=1&station=1"">Platform Diving</a>"
Astor Place	40.730054	-73.99107	6	Milton Glaser	Untitled	1986	Porcelain enamel on platform walls	"Milton Glaser, widely known as a pioneering graphic designer (including the I :3: New York logo) and print maker, created artwork for the Astor Place station that complements the existing historic fabric while making a bold and modern statement.  The station holds excellent examples of terra cotta and mosaics, particularly the Grueby Facience Company's plaques that depict beavers, a source of the Astor family wealth from fur trading. *Glaser described his approach as, ?basically a variation on the existing forms.  By extracting fragments of the motifs on the tile panels, enlarging their scale, and placing these pieces in a random pattern, they take on the appearance of a puzzle.?  The result is a series of porcelain enamel panels in geometric patterns and color that echo the historic elements but present them in an entirely new way."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=6&station=1"">Untitled</a>"
